beer1,beer1freq,beer2,beer2freq,beer3,beer3freq,beer4,beer4freq,beer5,beer5freq
beer purchas,2.0,beer pull,2.0,beer set,3.0,per beer,5.0,multipl beer,5
outstand beer,2.0,beer alright,2.0,choos beer,3.0,beer chang,5.0,pool beer,5
incorrect beer,2.0,dream beer,2.0,use beer,3.0,beer care,5.0,beer fine,5
beer hear,2.0,beer corn,2.0,crap beer,3.0,beer martini,5.0,week beer,5
littl beer,2.0,extra beer,2.0,nevada beer,3.0,guin beer,5.0,avail beer,5
number beer,2.0,purchas beer,2.0,beer staff,3.0,take beer,5.0,indian beer,5
offer beer,2.0,beer tell,2.0,way beer,3.0,rate beer,5.0,fresh beer,5
sell beer,2.0,beer hour,2.0,bad beer,3.0,beer hint,5.0,beer fridg,5
beer sure,2.0,beer brais,2.0,beer believ,3.0,beer left,5.0,beer tour,5
beer made,2.0,clear beer,2.0,beer fresh,3.0,beer last,5.0,beer whatev,5
beer cash,2.0,beer star,2.0,locat beer,3.0,simpl beer,5.0,alway beer,5
beer has,2.0,store beer,2.0,make beer,3.0,beer thought,5.0,korean beer,5
beer varieti,2.0,beer everi,2.0,beer hell,3.0,beer non,5.0,small beer,5
beer bean,2.0,beer fan,2.0,beer differ,3.0,give beer,5.0,beer dogfish,5
appar beer,2.0,beer min,2.0,certain beer,3.0,beer brat,5.0,stellar beer,5
read beer,2.0,beer dirti,2.0,beer elli,3.0,bunch beer,5.0,sell beer,5
spot beer,2.0,beer promot,2.0,beer flavor,3.0,beer interest,5.0,care beer,5
beer roll,2.0,beer brew,2.0,pretzel beer,3.0,beer festiv,5.0,beer spici,5
beer given,2.0,away beer,2.0,beer hot,3.0,expand beer,5.0,beer stein,5
drunk beer,2.0,hand beer,2.0,beer buy,3.0,beer red,5.0,beer sign,5
beer deep,2.0,beer side,2.0,beer slushi,3.0,beer overpr,5.0,darker beer,5
beer irish,2.0,expans beer,2.0,eat beer,3.0,beer sell,5.0,beer smooth,5
beer unbeliev,2.0,excit beer,2.0,beer fanat,3.0,known beer,5.0,beer wide,5
beer disgust,2.0,pros beer,2.0,beer style,3.0,beer ad,5.0,beer bunch,5
yellow beer,2.0,beer extens,2.0,beer deal,3.0,beer multipl,5.0,beer old,5
discount beer,2.0,beer wave,2.0,slow beer,3.0,addit beer,5.0,beer seem,5
fabul beer,2.0,beer interest,2.0,check beer,3.0,talk beer,5.0,beer though,5
inform beer,2.0,certain beer,2.0,beer bong,3.0,massiv beer,5.0,run beer,5
beer discount,2.0,beer crazi,2.0,actual beer,3.0,hand beer,5.0,liter beer,5
beer imposs,2.0,beer anyth,2.0,beer sign,3.0,entre beer,5.0,beer vodka,5
beer caus,2.0,beer sorri,2.0,beer fantast,3.0,small beer,5.0,italian beer,5
forgot beer,2.0,beer pretzel,2.0,beer comp,3.0,watermelon beer,5.0,beer card,5
beer number,2.0,beer slider,2.0,beer grab,3.0,beer chicken,5.0,beer anoth,5
beer speak,2.0,mediocr beer,2.0,afternoon beer,3.0,beer style,5.0,beer fish,5
beer cover,2.0,slow beer,2.0,form beer,3.0,switch beer,5.0,beer yum,5
keep beer,2.0,hook beer,2.0,cours beer,3.0,beer see,5.0,beer decent,5
beer slight,2.0,known beer,2.0,dip beer,3.0,beer visit,5.0,total beer,5
beer cider,2.0,premium beer,2.0,oh beer,3.0,beat beer,5.0,beer late,5
beer return,2.0,beer confirm,2.0,various beer,3.0,share beer,5.0,beer goe,5
beer lime,2.0,beer notaddb,2.0,beer pretzel,3.0,beer extens,5.0,beer abl,5
beer plastic,2.0,accept beer,2.0,entre beer,3.0,beer inexpens,5.0,beer point,5
beer prepar,2.0,serious beer,2.0,someth beer,3.0,although beer,5.0,compliment beer,5
beer best,2.0,slider beer,2.0,assort beer,3.0,notaddher beer,5.0,mari beer,5
beer somehow,2.0,various beer,2.0,beer everyth,3.0,yard beer,5.0,summer beer,5
beer call,2.0,beer expect,2.0,ever beer,3.0,beer notadda,5.0,beer homemad,5
beer pitcher,2.0,beer surpris,2.0,consist beer,3.0,beer brought,5.0,must beer,5
beer las,2.0,beer nerd,2.0,beer beverag,3.0,brought beer,5.0,premium beer,5
beer eventu,2.0,far beer,2.0,british beer,3.0,beer notaddb,5.0,beer cheer,5
beer backyard,2.0,english beer,2.0,number beer,3.0,beer long,5.0,beer worth,5
bunch beer,2.0,beer shake,2.0,disgust beer,3.0,beer goggl,4.0,beer mean,5
beer third,2.0,fill beer,2.0,part beer,3.0,beer sauc,4.0,beer work,5
third beer,2.0,japanes beer,2.0,keep beer,3.0,beer import,4.0,beer guin,5
victoria beer,2.0,beer group,2.0,beer breweri,3.0,enough beer,4.0,dessert beer,5
beer room,2.0,hole beer,2.0,oyster beer,3.0,custom beer,4.0,unlimit beer,5
yet beer,2.0,beer broke,2.0,ambianc beer,3.0,beer frozen,4.0,beer popcorn,5
notaddliquor beer,2.0,beer might,2.0,chang beer,3.0,british beer,4.0,beer import,5
spend beer,2.0,rare beer,2.0,beer serious,3.0,overal beer,4.0,jalapeño beer,5
american beer,2.0,today beer,2.0,hint beer,3.0,beer geek,4.0,nickel beer,5
expir beer,2.0,beer purchas,2.0,beer brand,3.0,lack beer,4.0,beer heard,5
realiz beer,2.0,beer ladi,2.0,realli beer,3.0,beer simpli,4.0,beer notaddto,5
end beer,2.0,beer basic,2.0,beer sat,3.0,beer say,4.0,street beer,5
steak beer,2.0,opt beer,2.0,beer relax,3.0,beer okay,4.0,beer yard,5
sunday beer,2.0,much beer,2.0,beer name,3.0,etc beer,4.0,beer prefer,5
beer despit,2.0,sauc beer,2.0,counter beer,2.0,beer bloodi,4.0,frog beer,5
beer thought,2.0,arcad beer,2.0,beer normal,2.0,normal beer,4.0,beer light,5
beer ron,2.0,beer atmospher,2.0,ass beer,2.0,beer pleas,4.0,tv beer,5
beer unfortun,2.0,amount beer,2.0,beer sometim,2.0,beer ipa,4.0,rememb beer,5
cheapest beer,2.0,rest beer,2.0,beer dinner,2.0,beer premis,4.0,beer stop,5
dri beer,2.0,shake beer,2.0,mari beermosa,2.0,okay beer,4.0,beer experi,5
stale beer,2.0,actual beer,2.0,beer must,2.0,seat beer,4.0,beer bacon,5
made beer,2.0,beer quit,2.0,larger beer,2.0,beer drop,4.0,notaddther beer,5
beer head,2.0,chang beer,2.0,yeah beer,2.0,beer incred,4.0,bogo beer,5
present beer,2.0,make beer,2.0,beer notaddto,2.0,saw beer,4.0,oyster beer,5
warn beer,2.0,hang beer,2.0,hh beer,2.0,lite beer,4.0,regular beer,5
beer pretti,2.0,beer three,2.0,jenga beer,2.0,beer discount,4.0,wish beer,5
rang beer,1.0,money beer,2.0,beer limit,2.0,beer wide,4.0,sure beer,5
revisit beer,1.0,bitter beer,2.0,due beer,2.0,beer decor,4.0,ale beer,5
beer moment,1.0,beer old,2.0,beer luckili,2.0,beer old,4.0,ball beer,5
beer knew,1.0,umami beer,2.0,walk beer,2.0,specialti beer,4.0,long beer,5
beer system,1.0,beer pour,2.0,pack beer,2.0,beer season,4.0,hefeweizen beer,5
beer quit,1.0,info beer,1.0,beer mason,2.0,superb beer,4.0,beer typic,5
beer lover,1.0,ring beer,1.0,beer book,2.0,open beer,4.0,wonder beer,5
beer doubt,1.0,relax beer,1.0,beer coke,2.0,beer guin,4.0,beer glad,5
swim beer,1.0,beer focus,1.0,popular beer,2.0,beer chimay,4.0,beer side,5
filter beer,1.0,cours beer,1.0,array beer,2.0,beer yard,4.0,tacosandbeerop tacotuesday,5
beer napkin,1.0,beer roulett,1.0,heineken beer,2.0,review beer,4.0,tacotuesday craftbeer,5
beer notaddther,1.0,jenga beer,1.0,beer card,2.0,beer cute,4.0,umami beer,5
beer sister,1.0,stand beer,1.0,beer mimosa,2.0,beer event,4.0,spirit beer,4
calamari beer,1.0,beer yell,1.0,moon beer,2.0,beer coupl,4.0,rice beer,4
beer calamari,1.0,gross beer,1.0,bill beer,2.0,beer notaddto,4.0,beer fabul,4
refriger beer,1.0,overhyp beer,1.0,miss beer,2.0,beer notic,4.0,beer buddi,4
beer advic,1.0,dish beer,1.0,mess beer,2.0,beer ton,4.0,mean beer,4
coupon beer,1.0,beer undereduc,1.0,beer notadda,2.0,care beer,4.0,pack beer,4
raw beer,1.0,trio beer,1.0,beer round,2.0,overpr beer,4.0,beer man,4
beer screwdriv,1.0,folk beer,1.0,notaddcocktail beer,2.0,beer happen,4.0,american beer,4
boss beer,1.0,beer syrup,1.0,beer yuck,2.0,everyth beer,4.0,beer notaddb,4
beer orang,1.0,beer plop,1.0,beer add,2.0,beer prepar,4.0,beer thing,4
beer buddi,1.0,british beer,1.0,beer notaddbad,2.0,beer put,4.0,outdoor beer,4
beer build,1.0,beer realiz,1.0,beer public,2.0,comp beer,4.0,wait beer,4
put beer,1.0,weird beer,1.0,higher beer,2.0,beer tv,4.0,beer prior,4
beer front,1.0,fun beer,1.0,beer hang,2.0,crab beer,4.0,beer pick,4
beer readili,1.0,beer limit,1.0,bloodi beer,2.0,relax beer,4.0,beer anyway,4
thru beer,1.0,bf beer,1.0,boyfriend beer,2.0,refresh beer,4.0,lite beer,4
british beer,1.0,definit beer,1.0,entir beer,2.0,beer close,4.0,fact beer,4
beer boddington,1.0,whole beer,1.0,sandwich beer,2.0,beer scene,4.0,sweet beer,4
beer fri,1.0,beer five,1.0,nibbl beer,2.0,beer typic,4.0,beer gave,4
beer koozi,1.0,next beer,1.0,beer countri,2.0,beer ladi,4.0,watch beer,4
either beer,1.0,beer bread,1.0,beer degre,2.0,fine beer,4.0,beer elli,4
beer steer,1.0,sierra beer,1.0,beer delight,2.0,hoppi beer,4.0,st beer,4
guacamol beer,1.0,beer reno,1.0,beer purchas,2.0,beer yum,4.0,peroni beer,4
beer liter,1.0,beer hardrock,1.0,valu beer,2.0,coldest beer,4.0,singha beer,4
beer unless,1.0,notaddtim beer,1.0,beer flow,2.0,sauc beer,4.0,patio beer,4
bitch beer,1.0,popular beer,1.0,beer min,2.0,mention beer,4.0,beer leav,4
parent beer,1.0,notaddserv beer,1.0,beer shop,2.0,beer his,4.0,beer solid,4
return beer,1.0,old beer,1.0,pass beer,2.0,menus beer,4.0,told beer,4
especi beer,1.0,beer earn,1.0,beer receiv,2.0,pair beer,4.0,away beer,4
beer wild,1.0,beer twice,1.0,left beer,2.0,citi beer,4.0,beer miller,4
kirin beer,1.0,beer chili,1.0,chill beer,2.0,featur beer,4.0,beer head,4
beer larg,1.0,move beer,1.0,beer magic,2.0,experi beer,4.0,beer far,4
wife beer,1.0,chines beer,1.0,posit beer,2.0,poker beer,4.0,brought beer,4
beer bath,1.0,beer plenti,1.0,beer bother,2.0,beer alreadi,4.0,far beer,4
someon beer,1.0,beer simpli,1.0,singl beer,2.0,gripe beer,4.0,anniversari beer,4
beer pisco,1.0,beer explain,1.0,beer mojito,2.0,wish beer,4.0,afford beer,4
yardhous beer,1.0,beer problem,1.0,beer memori,2.0,beer vanilla,4.0,wash beer,4
beer anyon,1.0,beer connoisseur,1.0,beer unless,2.0,beer bunch,4.0,beer bit,4
artisan beer,1.0,beer suck,1.0,beer chill,2.0,beer hour,4.0,beer tall,4
consist beer,1.0,mari beer,1.0,beer warm,2.0,beer late,4.0,beer moscow,4
produc beer,1.0,pong beer,1.0,beer except,2.0,beer cheaper,4.0,beer domest,4
felt beer,1.0,entre beer,1.0,beer pair,2.0,beer head,4.0,tequila beer,4
brazilian beer,1.0,barkada beer,1.0,besid beer,2.0,beer karaok,4.0,killer beer,4
beer increas,1.0,way beer,1.0,beer foreign,2.0,avail beer,4.0,beer cheddar,4
beer skip,1.0,beer rip,1.0,beer difficult,2.0,slow beer,4.0,tab beer,4
beer pack,1.0,wash beer,1.0,beer care,2.0,beer goe,4.0,beer often,4
hefeweizen beer,1.0,beer snakebit,1.0,gave beer,2.0,beer appar,4.0,beer booz,4
beer featur,1.0,educ beer,1.0,fruiti beer,2.0,notadd beer,4.0,nacho beer,4
beer player,1.0,either beer,1.0,beer short,2.0,beer giant,4.0,beer lime,4
area beer,1.0,beer far,1.0,foam beer,2.0,found beer,4.0,beer pitcher,4
beer rather,1.0,beer uncl,1.0,beer abl,2.0,decid beer,4.0,busch beer,4
beer entireti,1.0,taken beer,1.0,end beer,2.0,beer video,4.0,tower beer,4
blame beer,1.0,cowork beer,1.0,beer tell,2.0,drank beer,4.0,cheaper beer,4
beer sick,1.0,overwhelm beer,1.0,less beer,2.0,german beer,4.0,beer week,4
beer ive,1.0,beer andep,1.0,meant beer,2.0,need beer,4.0,beer arriv,4
beer notaddaft,1.0,beer ill,1.0,beer goggl,2.0,challeng beer,4.0,beer goggl,4
atmospher beer,1.0,beer rage,1.0,spill beer,2.0,cider beer,4.0,beer sure,4
beer chose,1.0,beer entir,1.0,beer honest,2.0,roll beer,4.0,beer wing,4
beer owe,1.0,beer opinion,1.0,beer settl,2.0,beer yelp,4.0,beer girlfriend,4
beer round,1.0,beer appear,1.0,notaddabout beer,2.0,beer relax,4.0,blast beer,4
giant beer,1.0,beer victori,1.0,spice beer,2.0,wait beer,4.0,footbal beer,4
assum beer,1.0,beer caus,1.0,beer menus,2.0,beer basic,4.0,beer stock,4
beer hookah,1.0,tire beer,1.0,beer boyfriend,2.0,focus beer,4.0,fav beer,4
tummi beer,1.0,beer appreci,1.0,beer wheat,2.0,beer boot,4.0,beer lunch,4
beer except,1.0,indian beer,1.0,soju beer,2.0,beer group,4.0,beer area,4
vat beer,1.0,watch beer,1.0,beer absolut,2.0,problem beer,4.0,beer convers,4
beer kinda,1.0,beer korean,1.0,beer whatev,2.0,beer gave,4.0,curd beer,4
st beer,1.0,beer pros,1.0,beer otherwis,2.0,beer outsid,4.0,beer ale,4
beer steadili,1.0,bean beer,1.0,problem beer,2.0,beer guess,4.0,pumpkin beer,4
bev beer,1.0,beer weird,1.0,stella beer,2.0,stale beer,4.0,beer visit,4
excit beer,1.0,medium beer,1.0,skanki beer,2.0,beer casino,4.0,beer perhap,4
beer ounc,1.0,nitro beer,1.0,beer lacklust,2.0,pm beer,4.0,beer insid,4
beer nine,1.0,beer mani,1.0,tell beer,2.0,beer split,4.0,stuck beer,4
hmmm beer,1.0,fact beer,1.0,holstein beer,2.0,hundr beer,4.0,beer waiter,4
premium beer,1.0,beer whatsoev,1.0,beer soup,2.0,beer open,4.0,miss beer,4
fridg beer,1.0,notaddfinish beer,1.0,beer ran,2.0,beer uniqu,4.0,beer shake,4
weak beer,1.0,zero beer,1.0,beer sauc,2.0,beer anywher,4.0,hate beer,4
beer notaddinterest,1.0,cook beer,1.0,notaddenough beer,2.0,beer simpl,4.0,beer els,4
suppli beer,1.0,problem beer,1.0,beer mediocr,2.0,set beer,4.0,final beer,4
primo beer,1.0,beer chip,1.0,desert beer,2.0,beer dart,4.0,stuff beer,4
hold beer,1.0,grace beer,1.0,year beer,2.0,beer els,4.0,ask beer,4
beer pasol,1.0,insid beer,1.0,smoke beer,2.0,beer depend,4.0,beer palat,4
martini beer,1.0,ridicul beer,1.0,beer four,2.0,beer unfortun,4.0,hoppi beer,4
beer life,1.0,terrif beer,1.0,beer bite,2.0,beer lime,4.0,serious beer,4
flavor beer,1.0,beer moder,1.0,standard beer,2.0,combin beer,4.0,budweis beer,4
beer stuff,1.0,col beer,1.0,separ beer,2.0,yes beer,4.0,ring beer,4
beer mon,1.0,cevich beer,1.0,beer top,2.0,person beer,4.0,beer rang,4
town beer,1.0,beer blood,1.0,ring beer,2.0,beer line,4.0,beer amber,4
beer distributor,1.0,initi beer,1.0,beer relat,2.0,told beer,4.0,line beer,4
beer green,1.0,beer exit,1.0,dark beer,2.0,beer sister,4.0,beer bill,4
kinda beer,1.0,clack beer,1.0,beer rd,2.0,beer recent,4.0,fruit beer,4
beer uful,1.0,forward beer,1.0,saw beer,2.0,beer chip,4.0,question beer,4
qualifi beer,1.0,notaddlit beer,1.0,beer skip,2.0,point beer,4.0,beer expens,4
notaddashtray beer,1.0,rd beer,1.0,vodka beer,2.0,beer pool,4.0,beer joint,4
beer dj,1.0,beer unbeliev,1.0,base beer,2.0,question beer,4.0,beer morn,4
door beer,1.0,notaddbegan beer,1.0,beer crab,2.0,beer suggest,4.0,beer readi,4
beer sound,1.0,beer fleck,1.0,beer hall,2.0,multipl beer,4.0,beer growler,4
lucill beer,1.0,small beer,1.0,beer stuff,2.0,beer chat,4.0,beer clean,4
wheat beer,1.0,beer isl,1.0,hot beer,2.0,beer main,4.0,mix beer,4
beer notaddask,1.0,vintag beer,1.0,sit beer,2.0,beer ran,4.0,tell beer,4
caught beer,1.0,fart beer,1.0,beer entre,2.0,beer relat,4.0,beauti beer,4
dishonesti beer,1.0,india beer,1.0,beer nope,2.0,ounc beer,4.0,beer extrem,4
beer bait,1.0,mode beer,1.0,beer avoid,2.0,brand beer,4.0,beer put,4
beer weapon,1.0,typic beer,1.0,beer lol,2.0,complaint beer,4.0,rest beer,4
pricey beer,1.0,random beer,1.0,milkshak beer,2.0,beerhaus has,4.0,beer set,4
beer male,1.0,beer posit,1.0,martini beer,2.0,beer haha,4.0,region beer,4
beer cafe,1.0,beer beauti,1.0,popcorn beer,2.0,dozen beer,4.0,charg beer,4
fli beer,1.0,simpli beer,1.0,loud beer,2.0,beer patio,4.0,infus beer,4
beer relat,1.0,beer boss,1.0,stuff beer,2.0,beer fact,4.0,beer tonight,4
beer staff,1.0,rememb beer,1.0,produc beer,2.0,beer figur,4.0,beer boyfriend,4
block beer,1.0,strict beer,1.0,money beer,2.0,piec beer,4.0,live beer,4
beer ear,1.0,beer chicago,1.0,complaint beer,2.0,beer poach,4.0,bloodi beer,4
certain beer,1.0,beer upset,1.0,beer buzz,2.0,sign beer,4.0,beer jalapeño,4
beer jello,1.0,butt beer,1.0,beer citi,2.0,beer serious,4.0,beer five,4
beer tonight,1.0,lime beer,1.0,smell beer,2.0,strong beer,4.0,beer return,4
beer valu,1.0,beer specifi,1.0,fremont beer,2.0,rib beer,4.0,beer wash,4
stuff beer,1.0,beer fruiti,1.0,nickl beer,2.0,bean beer,4.0,mayb beer,4
drove beer,1.0,stripper beer,1.0,beer tuesday,2.0,veggi beer,4.0,beer anyth,4
beer confus,1.0,denomin beer,1.0,beer throughout,2.0,site beer,4.0,beer absolut,4
beer heaven,1.0,beer stds,1.0,beer yes,2.0,gambl beer,4.0,beer ginger,4
beer wall,1.0,beer linger,1.0,beer greasi,2.0,beer brine,4.0,clean beer,4
stori beer,1.0,beer older,1.0,shake beer,2.0,beer hear,3.0,beer manag,4
beer stuck,1.0,macro beer,1.0,strip beer,2.0,away beer,3.0,beer answer,4
alreadi beer,1.0,beer excel,1.0,beer stick,2.0,hot beer,3.0,beer show,4
beer complet,1.0,card beer,1.0,beer potato,2.0,sandwich beer,3.0,beer tuesday,4
retel beer,1.0,modelo beer,1.0,decid beer,2.0,wall beer,3.0,bourbon beer,4
beer seventeen,1.0,beer slice,1.0,beer tonight,2.0,singha beer,3.0,downtown beer,4
pop beer,1.0,bite beer,1.0,beer gonna,2.0,charg beer,3.0,beer bud,4
nasti beer,1.0,offic beer,1.0,later beer,2.0,instead beer,3.0,beer regular,4
notaddm beer,1.0,homemad beer,1.0,beer refil,2.0,sunday beer,3.0,beer casino,4
beer consum,1.0,beer mustard,1.0,massiv beer,2.0,cask beer,3.0,beer sorbet,4
beer sunni,1.0,notaddthat beer,1.0,beer tax,2.0,beer readi,3.0,ounc beer,4
beer excess,1.0,notaddhad beer,1.0,abita beer,2.0,beer fantast,3.0,add beer,4
nugget beer,1.0,advertis beer,1.0,countri beer,2.0,greasi beer,3.0,quit beer,4
beer gee,1.0,mom beer,1.0,beer new,2.0,beer tequila,3.0,beer ipa,4
dart beer,1.0,italian beer,1.0,spend beer,2.0,beer might,3.0,server beer,4
initi beer,1.0,beer stingi,1.0,beer deserv,2.0,beer ambianc,3.0,beer asian,4
beer beverag,1.0,pack beer,1.0,patron beer,2.0,beer move,3.0,beer forget,4
beer stop,1.0,beer car,1.0,beer desert,2.0,chicken beer,3.0,beer bring,4
ton beer,1.0,boy beer,1.0,beer forget,2.0,ball beer,3.0,casino beer,4
beer standard,1.0,notadddrink beer,1.0,els beer,2.0,cornhol beer,3.0,beer doubl,4
bull beer,1.0,beer etc,1.0,pound beer,2.0,beer beverag,3.0,beer hall,4
beer omg,1.0,beer happen,1.0,station beer,2.0,beer singha,3.0,singl beer,4
artio beer,1.0,beer road,1.0,ride beer,2.0,beer averag,3.0,refresh beer,4
beer undrink,1.0,mix beer,1.0,beer never,2.0,beer dirt,3.0,crispi beer,4
beer simpl,1.0,stir beer,1.0,beer mac,2.0,beer heavi,3.0,sport beer,4
taken beer,1.0,beer yelp,1.0,belgium beer,2.0,beer hate,3.0,kept beer,4
beer smoke,1.0,beer discount,1.0,hefeweizen beer,2.0,band beer,3.0,beer impress,4
cancel beer,1.0,beer inattent,1.0,beer thought,2.0,stand beer,3.0,beer unwind,4
beer nearbi,1.0,beer parent,1.0,beer opinion,2.0,warn beer,3.0,beer three,4
lame beer,1.0,selet beer,1.0,beer laugh,2.0,grub beer,3.0,beer bread,4
beer lousi,1.0,beer bf,1.0,mug beer,2.0,beer tea,3.0,nation beer,4
menus beer,1.0,unhelp beer,1.0,sold beer,2.0,beer notaddcold,3.0,beer feel,4
beer stood,1.0,stock beer,1.0,fix beer,2.0,wide beer,3.0,hotel beer,4
past beer,1.0,beer back,1.0,raspberri beer,2.0,rest beer,3.0,beer hook,4
social beer,1.0,spend beer,1.0,beer stock,2.0,beer low,3.0,head beer,4
seat beer,1.0,beer booz,1.0,grapefruit beer,2.0,beer white,3.0,beer degre,4
stay beer,1.0,beer pop,1.0,beer agre,2.0,beer glad,3.0,beer holi,4
beer exagger,1.0,beer pleas,1.0,beer custom,2.0,beer wow,3.0,beer program,4
palomino beer,1.0,beer ounc,1.0,beer daili,2.0,beer crazi,3.0,fish beer,4
beer notaddhappi,1.0,drool beer,1.0,beer slow,2.0,beer pour,3.0,pasti beer,4
beer entir,1.0,loud beer,1.0,waitress beer,2.0,beer manag,3.0,diego beer,4
greas beer,1.0,beer bug,1.0,beer worth,2.0,dish beer,3.0,craftbeer vegasloc,4
cover beer,1.0,notaddnonsmok beer,1.0,heard beer,2.0,beer program,3.0,homemad beer,4
beer issu,1.0,beer enthusiast,1.0,beer freezer,2.0,beer steal,3.0,beer prime,4
beer ignor,1.0,beer easi,1.0,ca beer,2.0,descent beer,3.0,beer hang,3
beer none,1.0,cracker beer,1.0,beer cooler,2.0,beer complet,3.0,beer carri,3
runner beer,1.0,longboard beer,1.0,wall beer,2.0,saturday beer,3.0,beer slider,3
hell beer,1.0,beer zinger,1.0,without beer,2.0,empti beer,3.0,beer outsid,3
beer damn,1.0,beer sangria,1.0,beer vodka,2.0,park beer,3.0,cornhol beer,3
linq beer,1.0,wit beer,1.0,beer corona,2.0,beer rather,3.0,blueberri beer,3
beer summer,1.0,beer holstein,1.0,crowd beer,2.0,beer heard,3.0,anyway beer,3
shandi beer,1.0,separ beer,1.0,focus beer,2.0,beer home,3.0,mimosa beermosa,3
beer bore,1.0,beer refil,1.0,attitud beer,2.0,european beer,3.0,overs beer,3
notaddup beer,1.0,pricey beer,1.0,beer kill,2.0,beer turn,3.0,sangria beer,3
code beer,1.0,beer grey,1.0,depend beer,2.0,view beer,3.0,sausag beer,3
beer quarter,1.0,notaddyet beer,1.0,beer sangria,2.0,soak beer,3.0,beer combo,3
delici beer,1.0,beer wow,1.0,togeth beer,2.0,beer fine,3.0,beer explain,3
tasti beer,1.0,beer ancho,1.0,beer base,2.0,beer comfort,3.0,sandwich beer,3
beer hite,1.0,beer burn,1.0,street beer,2.0,actual beer,3.0,micro beer,3
multipl beer,1.0,notaddtalk beer,1.0,beer reserv,2.0,curd beer,3.0,hit beer,3
garbag beer,1.0,beer notaddcas,1.0,beer damn,2.0,beer cheapest,3.0,event beer,3
eleven beer,1.0,beer dr,1.0,beer upstair,2.0,beer gotta,3.0,beer size,3
foreign beer,1.0,beer listen,1.0,beer pbr,2.0,beer tab,3.0,shuffleboard beer,3
beer bitburg,1.0,kill beer,1.0,beer rememb,2.0,beer beyond,3.0,environ beer,3
idea beer,1.0,beer crap,1.0,beer former,2.0,lol beer,3.0,relax beer,3
beer secur,1.0,hill beer,1.0,beer uniqu,2.0,beer liter,3.0,bought beer,3
beer cos,1.0,beer prepar,1.0,stuck beer,2.0,beer five,3.0,gave beer,3
beer plenti,1.0,beer possibl,1.0,pt beer,2.0,tvs beer,3.0,beer notaddlov,3
topless beer,1.0,brais rootbeer,1.0,beer pool,2.0,beer nacho,3.0,opt beer,3
beer bank,1.0,rootbeer great,1.0,case beer,2.0,wonder beer,3.0,beer star,3
lime beer,1.0,beer punch,1.0,beer perhap,2.0,beer street,3.0,almost beer,3
compt beer,1.0,hefeweizen beer,1.0,relax beer,2.0,beer unless,3.0,open beer,3
beer initi,1.0,pleas beer,1.0,beer center,2.0,belgium beer,3.0,beer kid,3
could beer,1.0,footbal beer,1.0,beer money,2.0,neat beer,3.0,pong beer,3
beer relax,1.0,beer locat,1.0,beer disappoint,2.0,beer insid,3.0,beer told,3
beer hh,1.0,fresh beer,1.0,beer nacho,2.0,beer immedi,3.0,beer close,3
beer realiz,1.0,notaddrol beer,1.0,beer yeah,2.0,walk beer,3.0,porter beer,3
corona beer,1.0,taster beer,1.0,beer ounc,2.0,beer nut,3.0,asian beer,3
beer asinin,1.0,beer unsuspect,1.0,normal beer,2.0,beer slight,3.0,beer sound,3
beer song,1.0,beer rich,1.0,beer notaddanyth,2.0,six beer,3.0,beer strawberri,3
beer brat,1.0,beer outrag,1.0,beer assort,2.0,tire beer,3.0,beer receiv,3
swill beer,1.0,beer nah,1.0,instead beer,2.0,ambianc beer,3.0,discount beer,3
beer beelin,1.0,beer festiv,1.0,merican beer,2.0,beer cafe,3.0,beer immedi,3
beer inconsist,1.0,xx beer,1.0,hit beer,2.0,vast beer,3.0,ran beer,3
beer cheapest,1.0,beer regain,1.0,greasi beer,2.0,beer focus,3.0,sit beer,3
beer middl,1.0,use beer,1.0,beer yup,2.0,pleas beer,3.0,beer cute,3
messi beer,1.0,beer screwdriv,1.0,beer part,2.0,beer waiter,3.0,passion beer,3
beer sudden,1.0,popcorn beer,1.0,floor beer,2.0,champagn beer,3.0,beer sip,3
kick beer,1.0,pickup beer,1.0,beer fare,2.0,popular beer,3.0,hazelnut beer,3
beer board,1.0,beer adult,1.0,beer kept,2.0,beer notaddment,3.0,hawaiian beer,3
curd beer,1.0,beer jar,1.0,kept beer,2.0,beer monday,3.0,updat beer,3
freak beer,1.0,beer damn,1.0,beer score,2.0,beer seafood,3.0,howev beer,3
beer generous,1.0,main beer,1.0,cheep beer,2.0,beer saw,3.0,beer compani,3
coffe beer,1.0,fantast beer,1.0,rootbeer sorbet,2.0,beer nfl,3.0,beer anywher,3
notaddfrom beer,1.0,overkil beer,1.0,dish beer,2.0,bonus beer,3.0,intern beer,3
beer minimum,1.0,sunris beer,1.0,thank beer,2.0,complimentari beer,3.0,review beer,3
buddi beer,1.0,beer cauliflow,1.0,worst beer,2.0,everyday beer,3.0,million beer,3
wast beer,1.0,cricket beer,1.0,enough beer,2.0,salsa beer,3.0,insan beer,3
ranch beer,1.0,beer refus,1.0,beer duh,2.0,man beer,3.0,beer patron,3
beer rate,1.0,beer pretend,1.0,refresh beer,2.0,beer danc,3.0,cook beer,3
beer notaddgreat,1.0,guiness beer,1.0,delight beer,2.0,beer commit,3.0,wrong beer,3
beer ultim,1.0,combin beer,1.0,notaddb beer,2.0,lighter beer,3.0,beer beverag,3
beer limo,1.0,beer im,1.0,beer advertis,2.0,beer water,3.0,beer liter,3
flour beer,1.0,beer yike,1.0,tall beer,2.0,beer im,3.0,beer bbq,3
